group	colour	y	x	clickSelects	showSelected1	PANEL
3	#0000FF	-0.0727548207894901	2.04139268515823	3	featureless	6
3	#0000FF	-0.07730635457589	2.30102999566398	3	featureless	6
4	#FF0000	-0.495651979492715	1	1	rpart	1
4	#FF0000	-0.496601048168068	1.25527250510331	1	rpart	1
4	#FF0000	-0.417581000623556	1.51851393987789	1	rpart	1
4	#FF0000	-0.428723140023172	1.77815125038364	1	rpart	1
4	#FF0000	-0.432630848281448	2.04139268515823	1	rpart	1
4	#FF0000	-0.318327622736462	2.30102999566398	1	rpart	1
4	#FF0000	-0.0964621235016715	1	1	rpart	2
4	#FF0000	-0.0557222490806308	1.25527250510331	1	rpart	2
4	#FF0000	-0.189436305466084	1.51851393987789	1	rpart	2
4	#FF0000	-0.264284893747434	1.77815125038364	1	rpart	2
4	#FF0000	-0.522737662317147	2.04139268515823	1	rpart	2
4	#FF0000	-0.536779274637556	2.30102999566398	1	rpart	2
4	#FF0000	-0.486767323502953	1	1	rpart	3
4	#FF0000	-0.49152913380508	1.25527250510331	1	rpart	3
4	#FF0000	-0.442616735214524	1.51851393987789	1	rpart	3
4	#FF0000	-0.427935540710693	1.77815125038364	1	rpart	3
4	#FF0000	-0.380029470738081	2.04139268515823	1	rpart	3
4	#FF0000	-0.392530833550094	2.30102999566398	1	rpart	3
4	#FF0000	-0.0547770346587207	1	1	rpart	4
4	#FF0000	-0.0499599492226005	1.25527250510331	1	rpart	4
4	#FF0000	-0.0254492796287467	1.51851393987789	1	rpart	4
4	#FF0000	-0.221216674459181	1.77815125038364	1	rpart	4
4	#FF0000	-0.460640694415069	2.04139268515823	1	rpart	4
4	#FF0000	-0.447721181066677	2.30102999566398	1	rpart	4
4	#FF0000	-0.515816135968325	1	1	rpart	5
4	#FF0000	-0.582892560596371	1.25527250510331	1	rpart	5
4	#FF0000	-0.525136439755011	1.51851393987789	1	rpart	5
4	#FF0000	-0.606811226455096	1.77815125038364	1	rpart	5
4	#FF0000	-0.52206932794736	2.04139268515823	1	rpart	5
4	#FF0000	-0.535847392121818	2.30102999566398	1	rpart	5
4	#FF0000	-0.0379844045631678	1	1	rpart	6
4	#FF0000	-0.0398126469063918	1.25527250510331	1	rpart	6
4	#FF0000	-0.0568350688525943	1.51851393987789	1	rpart	6
4	#FF0000	-0.210600068377934	1.77815125038364	1	rpart	6
4	#FF0000	-0.271382735782017	2.04139268515823	1	rpart	6
4	#FF0000	-0.333080746685074	2.30102999566398	1	rpart	6
5	#FF0000	-0.455555734227983	1	2	rpart	1
5	#FF0000	-0.52357867346951	1.25527250510331	2	rpart	1
5	#FF0000	-0.492711096281647	1.51851393987789	2	rpart	1
5	#FF0000	-0.431751244125262	1.77815125038364	2	rpart	1
5	#FF0000	-0.389456151876932	2.04139268515823	2	rpart	1
5	#FF0000	-0.318327622736462	2.30102999566398	2	rpart	1
5	#FF0000	-0.080256480081827	1	2	rpart	2
5	#FF0000	-0.144045262231367	1.25527250510331	2	rpart	2
5	#FF0000	-0.0539630217548051	1.51851393987789	2	rpart	2
5	#FF0000	-0.52304722767017	1.77815125038364	2	rpart	2
5	#FF0000	-0.516020724952167	2.04139268515823	2	rpart	2
5	#FF0000	-0.536779274637556	2.30102999566398	2	rpart	2
5	#FF0000	-0.495807907735734	1	2	rpart	3
5	#FF0000	-0.410501381045733	1.25527250510331	2	rpart	3
5	#FF0000	-0.451840976274239	1.51851393987789	2	rpart	3
5	#FF0000	-0.340361326294652	1.77815125038364	2	rpart	3
5	#FF0000	-0.373418570810575	2.04139268515823	2	rpart	3
5	#FF0000	-0.392530833550094	2.30102999566398	2	rpart	3
5	#FF0000	-0.000963103250632305	1	2	rpart	4
5	#FF0000	-0.0618574484331692	1.25527250510331	2	rpart	4
5	#FF0000	-0.0977781033083941	1.51851393987789	2	rpart	4
5	#FF0000	-0.200651592613374	1.77815125038364	2	rpart	4
5	#FF0000	-0.328741777739257	2.04139268515823	2	rpart	4
5	#FF0000	-0.447721181066677	2.30102999566398	2	rpart	4
5	#FF0000	-0.563885271692302	1	2	rpart	5
5	#FF0000	-0.614230795776514	1.25527250510331	2	rpart	5
5	#FF0000	-0.481376783411489	1.51851393987789	2	rpart	5
5	#FF0000	-0.460595277703405	1.77815125038364	2	rpart	5
5	#FF0000	-0.58354251230131	2.04139268515823	2	rpart	5
5	#FF0000	-0.535847392121818	2.30102999566398	2	rpart	5
5	#FF0000	-0.0784421700423313	1	2	rpart	6
5	#FF0000	-0.0717342947764128	1.25527250510331	2	rpart	6
5	#FF0000	-0.118208192012426	1.51851393987789	2	rpart	6
5	#FF0000	-0.181252545267014	1.77815125038364	2	rpart	6
5	#FF0000	-0.289117751178136	2.04139268515823	2	rpart	6
5	#FF0000	-0.333080746685074	2.30102999566398	2	rpart	6
6	#FF0000	-0.267882200966396	1	3	rpart	1
6	#FF0000	-0.445053334036122	1.25527250510331	3	rpart	1
6	#FF0000	-0.437697302369272	1.51851393987789	3	rpart	1
6	#FF0000	-0.377777060198291	1.77815125038364	3	rpart	1
6	#FF0000	-0.334937900142566	2.04139268515823	3	rpart	1
6	#FF0000	-0.318327622736462	2.30102999566398	3	rpart	1
6	#FF0000	-0.158850627640382	1	3	rpart	2
6	#FF0000	-0.148755016476775	1.25527250510331	3	rpart	2
6	#FF0000	-0.176553205451738	1.51851393987789	3	rpart	2
6	#FF0000	-0.381336236266044	1.77815125038364	3	rpart	2
6	#FF0000	-0.489099224415646	2.04139268515823	3	rpart	2
6	#FF0000	-0.536779274637556	2.30102999566398	3	rpart	2
6	#FF0000	-0.420565504847297	1	3	rpart	3
6	#FF0000	-0.492454814192756	1.25527250510331	3	rpart	3
6	#FF0000	-0.464368250912891	1.51851393987789	3	rpart	3
6	#FF0000	-0.441223213689575	1.77815125038364	3	rpart	3
6	#FF0000	-0.459520820221286	2.04139268515823	3	rpart	3
6	#FF0000	-0.392530833550094	2.30102999566398	3	rpart	3
6	#FF0000	-0.0718810744821472	1	3	rpart	4
6	#FF0000	-0.0884869771173981	1.25527250510331	3	rpart	4
6	#FF0000	-0.131738336738018	1.51851393987789	3	rpart	4
6	#FF0000	-0.263368661637202	1.77815125038364	3	rpart	4
6	#FF0000	-0.426486150911554	2.04139268515823	3	rpart	4
6	#FF0000	-0.447721181066677	2.30102999566398	3	rpart	4
6	#FF0000	-0.610288856219565	1	3	rpart	5
6	#FF0000	-0.609396068644637	1.25527250510331	3	rpart	5
6	#FF0000	-0.555972683785115	1.51851393987789	3	rpart	5
6	#FF0000	-0.562604983939755	1.77815125038364	3	rpart	5
6	#FF0000	-0.51521434934262	2.04139268515823	3	rpart	5
6	#FF0000	-0.535847392121818	2.30102999566398	3	rpart	5
6	#FF0000	-0.0437884015152607	1	3	rpart	6
6	#FF0000	-0.065566045349304	1.25527250510331	3	rpart	6
6	#FF0000	-0.0149957988313921	1.51851393987789	3	rpart	6
6	#FF0000	-0.140647313148512	1.77815125038364	3	rpart	6
6	#FF0000	-0.270904448099024	2.04139268515823	3	rpart	6
6	#FF0000	-0.333080746685074	2.30102999566398	3	rpart	6
